,doi,title,authors,author_corresponding,author_corresponding_institution,relevance,date,category,abstract,url,combined,n_tokens
240,10.1101/2022.11.28.518070,CiliaMiner: an integrated database for Ciliopathy Genes and Ciliopathies,"Turan, M. G.; Orhan, M. E.; Cevik, S.; Kaplan, O. I.",Oktay I. Kaplan,"Rare Disease Laboratory, School of Life and Natural Sciences, Abdullah Gul University, Kayseri, Turkey",1 Certainly Irrelevant,2022-11-28,bioinformatics,"Cilia are found in eukaryotic species ranging from single-celled organisms, such as Chlamydomonas reinhardtii, to humans, but not in plants. The ability to respond to repellents and/or attractants, regulate cell proliferation and differentiation, and provide cellular mobility are just a few examples of how crucial cilia are to cells and organisms. Over 30 distinct rare disorders generally known as ciliopathy are caused by abnormalities or functional impairments in cilia and cilia-related compartments. Because of the intricacy of ciliopathies and the rising number of ciliopathies and ciliopathy genes, a ciliopathy-oriented and up-to-date database is required. In addition, disorders not yet known as ciliopathy but have genes that produce cilia localizing proteins have yet to be classified. Here we present CiliaMiner, a manually curated ciliopathy database that includes ciliopathy lists collected from articles and databases. Analysis reveals that there are 55 distinct disorders likely related to ciliopathy, with over 4000 clinical manifestations. Based on comparative symptom analysis and subcellular localization data, diseases are classified as primary, secondary, or atypical ciliopathies. CiliaMiner provides easy access to all of these diseases and disease genes, as well as clinical features and gene-specific clinical features, as well as subcellular localization of each protein. Additionally, the orthologs of disease genes are also provided for mice, zebrafish, Xenopus, Drosophila, and C. elegans. CiliaMiner (https://kaplanlab.shinyapps.io/ciliaminer) aims to serve the cilia community with its comprehensive content, and highly enriched interactive heatmaps, and will be continually updated.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518070,"Title: CiliaMiner: an integrated database for Ciliopathy Genes and Ciliopathies; Authors: Turan, M. G.; Orhan, M. E.; Cevik, S.; Kaplan, O. I.; Corresponding Author: Oktay I. Kaplan; Author Institution: Rare Disease Laboratory, School of Life and Natural Sciences, Abdullah Gul University, Kayseri, Turkey; Category: bioinformatics; Abstract: Cilia are found in eukaryotic species ranging from single-celled organisms, such as Chlamydomonas reinhardtii, to humans, but not in plants. The ability to respond to repellents and/or attractants, regulate cell proliferation and differentiation, and provide cellular mobility are just a few examples of how crucial cilia are to cells and organisms. Over 30 distinct rare disorders generally known as ciliopathy are caused by abnormalities or functional impairments in cilia and cilia-related compartments. Because of the intricacy of ciliopathies and the rising number of ciliopathies and ciliopathy genes, a ciliopathy-oriented and up-to-date database is required. In addition, disorders not yet known as ciliopathy but have genes that produce cilia localizing proteins have yet to be classified. Here we present CiliaMiner, a manually curated ciliopathy database that includes ciliopathy lists collected from articles and databases. Analysis reveals that there are 55 distinct disorders likely related to ciliopathy, with over 4000 clinical manifestations. Based on comparative symptom analysis and subcellular localization data, diseases are classified as primary, secondary, or atypical ciliopathies. CiliaMiner provides easy access to all of these diseases and disease genes, as well as clinical features and gene-specific clinical features, as well as subcellular localization of each protein. Additionally, the orthologs of disease genes are also provided for mice, zebrafish, Xenopus, Drosophila, and C. elegans. CiliaMiner (https://kaplanlab.shinyapps.io/ciliaminer) aims to serve the cilia community with its comprehensive content, and highly enriched interactive heatmaps, and will be continually updated.",454
242,10.1101/2022.11.28.518224,Fast protein structure searching using structure graph embeddings,"Greener, J. G.; Jamali, K.",Joe G Greener,Medical Research Council Laboratory of Molecular Biology,4 Very Relevant,2022-11-28,bioinformatics,"Comparing and searching protein structures independent of primary sequence has proved useful for remote homology detection, function annotation and protein classification. With the recent leap in accuracy of protein structure prediction methods and increased availability of protein models, attention is turning to how to best make use of this data. Fast and accurate methods to search databases of millions of structures will be essential to this endeavour, in the same way that fast protein sequence searching underpins much of bioinformatics. We train a simple graph neural network using supervised contrastive learning to learn a low-dimensional embedding of protein structure. The embedding can be used to search structures against large structural databases with accuracy comparable to current methods. The speed of the method and ability to scale to millions of structures makes it suitable for this structure-rich era. The method, called Progres, is available at https://github.com/jgreener64/progres.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518224,"Title: Fast protein structure searching using structure graph embeddings; Authors: Greener, J. G.; Jamali, K.; Corresponding Author: Joe G Greener; Author Institution: Medical Research Council Laboratory of Molecular Biology; Category: bioinformatics; Abstract: Comparing and searching protein structures independent of primary sequence has proved useful for remote homology detection, function annotation and protein classification. With the recent leap in accuracy of protein structure prediction methods and increased availability of protein models, attention is turning to how to best make use of this data. Fast and accurate methods to search databases of millions of structures will be essential to this endeavour, in the same way that fast protein sequence searching underpins much of bioinformatics. We train a simple graph neural network using supervised contrastive learning to learn a low-dimensional embedding of protein structure. The embedding can be used to search structures against large structural databases with accuracy comparable to current methods. The speed of the method and ability to scale to millions of structures makes it suitable for this structure-rich era. The method, called Progres, is available at https://github.com/jgreener64/progres.",226
253,10.1101/2022.11.28.518223,The simulation of functional heterogeneity in procedurally generated fibrotic atrial tissue,"Kalinin, A.; Kovalenko, S.; Berezhnoy, A. K.; Slotvitsky, M. M.; Shcherbina, S.; Syrovnev, V.; Tsvelaya, V. A.",Valeriya A Tsvelaya,MIPT,2 Probably Irrelevant,2022-11-28,biophysics,"The occurrence of atrial fibrillation (AF), one of the most common and socially significant arrhythmias, is associated with the presence of fibrosis sites. Fibrosis is the presence of non-conductive fibroblast cells, separating cardiomyocytes and introducing heterogeneity into the conducting atrial tissue. Thus fibrosis may be a substrate of spiral-wave reentry, provoking the occurrence of AF and is often associated with its persistent form. In this work, we propose for the first time a fundamentally new approach to modeling the fibrotic heart that takes into account the cellular structure of the tissue: a realistic texture of atrial tissue remodeled by fibroblasts is generated by the Potts model, and the local membrane potential of individual cells is calculated by the Courtemanche model. We have shown the occurrence of conductive pathways in such a system with a low proportion of fibroblasts (up to 10%) and revealed the connection of the form of the action potential (AP) of cells with their location in the tissue and the direction of the propagating wave front. The combination of these effects creates dynamic heterogeneity of the conducting tissue and affects the migration and pinning of spiral waves, which makes the model a potential tool for prognostic modeling of AP and search for ablation targets. The computer prediction of ablation targets (reentry nodes) will help to increase the efficiency of treatment of patients with persistent form of AF.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518223,"Title: The simulation of functional heterogeneity in procedurally generated fibrotic atrial tissue; Authors: Kalinin, A.; Kovalenko, S.; Berezhnoy, A. K.; Slotvitsky, M. M.; Shcherbina, S.; Syrovnev, V.; Tsvelaya, V. A.; Corresponding Author: Valeriya A Tsvelaya; Author Institution: MIPT; Category: biophysics; Abstract: The occurrence of atrial fibrillation (AF), one of the most common and socially significant arrhythmias, is associated with the presence of fibrosis sites. Fibrosis is the presence of non-conductive fibroblast cells, separating cardiomyocytes and introducing heterogeneity into the conducting atrial tissue. Thus fibrosis may be a substrate of spiral-wave reentry, provoking the occurrence of AF and is often associated with its persistent form. In this work, we propose for the first time a fundamentally new approach to modeling the fibrotic heart that takes into account the cellular structure of the tissue: a realistic texture of atrial tissue remodeled by fibroblasts is generated by the Potts model, and the local membrane potential of individual cells is calculated by the Courtemanche model. We have shown the occurrence of conductive pathways in such a system with a low proportion of fibroblasts (up to 10%) and revealed the connection of the form of the action potential (AP) of cells with their location in the tissue and the direction of the propagating wave front. The combination of these effects creates dynamic heterogeneity of the conducting tissue and affects the migration and pinning of spiral waves, which makes the model a potential tool for prognostic modeling of AP and search for ablation targets. The computer prediction of ablation targets (reentry nodes) will help to increase the efficiency of treatment of patients with persistent form of AF.",390
254,10.1101/2022.11.28.518241,Sequence Controlled Secondary Structure Determines Site-selectivity of Lanthipeptides,"Mi, X.; Desormeaux, E. K.; Le, T.; van der Donk, W.; Shukla, D.",Diwakar Shukla,University of Illinois at Urbana-Champaign,2 Probably Irrelevant,2022-11-28,biophysics,"Lanthipeptides are ribosomally synthesized and post-translationally modified peptides that are generated from precursor peptides through a dehydration and cyclization process in the biosynthetic pathways. In contrast to most other lanthipeptide synthetases, ProcM, a class II lanthipeptide synthetase, demonstrates high substrate tolerance. It is enigmatic that a single enzyme can catalyze the cyclization process of a diverse range of substrates with high fidelity. Previous studies suggested that the site-selectivity of lanthionine formation is determined by substrate sequence rather than by the enzyme. However, exactly how substrate sequence contributes to site-selective lanthipeptide biosynthesis is not clear. In this study, we performed molecular dynamic simulations for ProcA3.3 core peptide variants to explore how the predicted solution structure of the substrate without enzyme correlates to final product formation. Our simulation results support a model in which the secondary structure of the core peptide controls the ring pattern of the final product. We also demonstrate that the dehydration step in the biosynthesis pathway does not influence the site-selectivity of ring formation. In addition, we performed simulation for the core peptides of ProcA1.1 and 2.8, which are well-suited candidates to investigate the connection between order of ring formation and solution structure. Simulation results indicate that in both cases, C-terminal ring formation is more likely which was supported by experimental results. Our findings indicate that the substrate sequence and its solution structure can be used to predict the site-selectivity and order of ring formation, and that secondary structure is a crucial factor influencing the site-selectivity. Taken together, these findings will facilitate our understanding of the lanthipeptide biosynthetic mechanism and accelerate bioengineering efforts for lanthipeptide-derived products.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518241,"Title: Sequence Controlled Secondary Structure Determines Site-selectivity of Lanthipeptides; Authors: Mi, X.; Desormeaux, E. K.; Le, T.; van der Donk, W.; Shukla, D.; Corresponding Author: Diwakar Shukla; Author Institution: University of Illinois at Urbana-Champaign; Category: biophysics; Abstract: Lanthipeptides are ribosomally synthesized and post-translationally modified peptides that are generated from precursor peptides through a dehydration and cyclization process in the biosynthetic pathways. In contrast to most other lanthipeptide synthetases, ProcM, a class II lanthipeptide synthetase, demonstrates high substrate tolerance. It is enigmatic that a single enzyme can catalyze the cyclization process of a diverse range of substrates with high fidelity. Previous studies suggested that the site-selectivity of lanthionine formation is determined by substrate sequence rather than by the enzyme. However, exactly how substrate sequence contributes to site-selective lanthipeptide biosynthesis is not clear. In this study, we performed molecular dynamic simulations for ProcA3.3 core peptide variants to explore how the predicted solution structure of the substrate without enzyme correlates to final product formation. Our simulation results support a model in which the secondary structure of the core peptide controls the ring pattern of the final product. We also demonstrate that the dehydration step in the biosynthesis pathway does not influence the site-selectivity of ring formation. In addition, we performed simulation for the core peptides of ProcA1.1 and 2.8, which are well-suited candidates to investigate the connection between order of ring formation and solution structure. Simulation results indicate that in both cases, C-terminal ring formation is more likely which was supported by experimental results. Our findings indicate that the substrate sequence and its solution structure can be used to predict the site-selectivity and order of ring formation, and that secondary structure is a crucial factor influencing the site-selectivity. Taken together, these findings will facilitate our understanding of the lanthipeptide biosynthetic mechanism and accelerate bioengineering efforts for lanthipeptide-derived products.",440
255,10.1101/2022.11.24.517008,Extracellular disintegration of viral proteins as an innovative strategy for developing broad-spectrum antivirals against coronavirus,"Sun, K.; Ding, Z.; Jia, X.; Cheng, H.; Li, Y.; Wu, Y.; Li, Z.; Huang, X.; Pu, F.; Li, E.; Wang, G.; Wang, W.; Ding, Y.; Wong, G.; Chiu, S.; Lan, J.; Hu, A.",Aiguo Hu,"Shanghai Key Laboratory of Advanced Polymeric Materials, School of Materials Science and Engineering, East China University of Science and Technology, Shanghai ",2 Probably Irrelevant,2022-11-28,biochemistry,"The coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has claimed millions of lives worldwide, not to mention innumerable losses in the global economy and disruptions in social relationships. Unfortunately, state-of-the-art treatments still lag behind the fast emergence of new variants of concern. The key to resolve this issue is to develop broad-spectrum antivirals with innovative antiviral mechanisms in which coronaviruses are deactivated regardless of their variant development. Herein, we report a new antiviral strategy involving extracellular disintegration of viral proteins that are indispensable for viral infection with hyperanion-grafted enediyne molecules. The sulfate groups ensure low cellular permeability and rather low cytotoxicity of the molecules, while the core enediyne generates reactive radical species and causes significant damage to the spike (S) protein of coronavirus. The enediyne compounds exhibit antiviral activity at micromolar to nanomolar concentrations, and the selectivity index of up to 20,000 against four kinds of human coronaviruses, including the SARS-CoV-2 omicron variant, suggesting the high potential of this new strategy in combating the COVID-19 pandemic.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.24.517008,"Title: Extracellular disintegration of viral proteins as an innovative strategy for developing broad-spectrum antivirals against coronavirus; Authors: Sun, K.; Ding, Z.; Jia, X.; Cheng, H.; Li, Y.; Wu, Y.; Li, Z.; Huang, X.; Pu, F.; Li, E.; Wang, G.; Wang, W.; Ding, Y.; Wong, G.; Chiu, S.; Lan, J.; Hu, A.; Corresponding Author: Aiguo Hu; Author Institution: Shanghai Key Laboratory of Advanced Polymeric Materials, School of Materials Science and Engineering, East China University of Science and Technology, Shanghai; Category: biochemistry; Abstract: The coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has claimed millions of lives worldwide, not to mention innumerable losses in the global economy and disruptions in social relationships. Unfortunately, state-of-the-art treatments still lag behind the fast emergence of new variants of concern. The key to resolve this issue is to develop broad-spectrum antivirals with innovative antiviral mechanisms in which coronaviruses are deactivated regardless of their variant development. Herein, we report a new antiviral strategy involving extracellular disintegration of viral proteins that are indispensable for viral infection with hyperanion-grafted enediyne molecules. The sulfate groups ensure low cellular permeability and rather low cytotoxicity of the molecules, while the core enediyne generates reactive radical species and causes significant damage to the spike (S) protein of coronavirus. The enediyne compounds exhibit antiviral activity at micromolar to nanomolar concentrations, and the selectivity index of up to 20,000 against four kinds of human coronaviruses, including the SARS-CoV-2 omicron variant, suggesting the high potential of this new strategy in combating the COVID-19 pandemic.",404
256,10.1101/2022.11.24.517882,SARS-CoV-2 Spike Protein Induces Hemagglutination: Implications for COVID-19 Morbidities and Therapeutics and for Vaccine Adverse Effects,"Boschi, C.; Scheim, D. E.; Bancod, A.; Millitello, M.; Le Bideau, M.; Colson, P.; Fantini, J.; La Scola, B.",Bernard La Scola,"MEPHI, Aix-Marseille Universite, Institut de Recherche pour le Developpement (IRD), Assistance Publique - Hopitaux de Marseille (AP-HM), IHU Mediterranee Infect",2 Probably Irrelevant,2022-11-28,biochemistry,"Experimental findings for SARS-CoV-2 related to the glycan biochemistry of coronaviruses indicate that attachments from spike protein to glycoconjugates on the surfaces of red blood cells (RBCs), other blood cells and endothelial cells are key to the infectivity and morbidity of COVID-19. To provide further insight into these glycan attachments and their potential clinical relevance, the classic hemagglutination (HA) assay was applied using spike protein from the Wuhan, Alpha, Delta and Omicron B.1.1.529 lineages of SARS-CoV-2 mixed with human RBCs. The electrostatic potential of the central region of spike protein from these four lineages was studied through molecular modeling simulations. Inhibition of spike protein-induced HA was tested using the macrocyclic lactone ivermectin (IVM), which is indicated to bind strongly to SARS-CoV-2 spike protein glycan sites. The results of these experiments were, first, that spike protein from these four lineages of SARS-CoV-2 induced HA. Omicron induced HA at a significantly lower threshold concentration of spike protein than for the three prior lineages and was much more electropositive on its central spike protein region. IVM blocked HA when added to RBCs prior to spike protein and reversed HA when added afterwards. These results validate and extend prior findings on the role of glycan bindings of viral spike protein in COVID-19. They furthermore suggest therapeutic options using competitive glycan-binding agents such as IVM and may help elucidate rare serious adverse effects (AEs) associated with COVID-19 mRNA vaccines which use spike protein as the generated antigen.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.24.517882,"Title: SARS-CoV-2 Spike Protein Induces Hemagglutination: Implications for COVID-19 Morbidities and Therapeutics and for Vaccine Adverse Effects; Authors: Boschi, C.; Scheim, D. E.; Bancod, A.; Millitello, M.; Le Bideau, M.; Colson, P.; Fantini, J.; La Scola, B.; Corresponding Author: Bernard La Scola; Author Institution: MEPHI, Aix-Marseille Universite, Institut de Recherche pour le Developpement (IRD), Assistance Publique - Hopitaux de Marseille (AP-HM), IHU Mediterranee Infect; Category: biochemistry; Abstract: Experimental findings for SARS-CoV-2 related to the glycan biochemistry of coronaviruses indicate that attachments from spike protein to glycoconjugates on the surfaces of red blood cells (RBCs), other blood cells and endothelial cells are key to the infectivity and morbidity of COVID-19. To provide further insight into these glycan attachments and their potential clinical relevance, the classic hemagglutination (HA) assay was applied using spike protein from the Wuhan, Alpha, Delta and Omicron B.1.1.529 lineages of SARS-CoV-2 mixed with human RBCs. The electrostatic potential of the central region of spike protein from these four lineages was studied through molecular modeling simulations. Inhibition of spike protein-induced HA was tested using the macrocyclic lactone ivermectin (IVM), which is indicated to bind strongly to SARS-CoV-2 spike protein glycan sites. The results of these experiments were, first, that spike protein from these four lineages of SARS-CoV-2 induced HA. Omicron induced HA at a significantly lower threshold concentration of spike protein than for the three prior lineages and was much more electropositive on its central spike protein region. IVM blocked HA when added to RBCs prior to spike protein and reversed HA when added afterwards. These results validate and extend prior findings on the role of glycan bindings of viral spike protein in COVID-19. They furthermore suggest therapeutic options using competitive glycan-binding agents such as IVM and may help elucidate rare serious adverse effects (AEs) associated with COVID-19 mRNA vaccines which use spike protein as the generated antigen.",497
257,10.1101/2022.11.28.518195,Highly potent antisense oligonucleotides (ASOs) targeting the SARS-CoV-2 RNA genome,"Dauksaite, V.; Tas, A.; Wachowius, F.; Spruit, A.; van Hemert, M.; Snijder, E.; van der Veer, E. P.; van Zonneveld, A. J.",Anton Jan van Zonneveld,"Department of Internal Medicine (Nephrology), Leiden University Medical Center, Leiden, the Netherlands",3 Possibly Relevant,2022-11-28,molecular biology,"Currently the world is dealing with the third outbreak of the human-infecting coronavirus with potential lethal outcome, cause by a member of the Nidovirus family, the SARS-CoV-2. The severe acute respiratory syndrome coronavirus (SARS-CoV-2) has caused the last worldwide pandemic. Successful development of vaccines highly contributed to reduce the severeness of the COVID-19 disease. To establish a control over the current and newly emerging coronaviruses of epidemic concern requires development of substances able to cure severely infected individuals and to prevent virus transmission. Here we present a therapeutic strategy targeting the SARS-CoV-2 RNA using antisense oligonucleotides (ASOs) and identify locked nucleic acid gapmers (LNA gapmers) potent to reduce by up to 96% the intracellular viral load in vitro. Our results strongly suggest promise of our preselected ASOs for further development as therapeutic or prophylactic anti-viral agents.

One sentence summaryASOs (LNA gapmers) targeting the SARS-CoV-2 RNA genome have been effective in viral RNA (load) reduction in vitro.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518195,"Title: Highly potent antisense oligonucleotides (ASOs) targeting the SARS-CoV-2 RNA genome; Authors: Dauksaite, V.; Tas, A.; Wachowius, F.; Spruit, A.; van Hemert, M.; Snijder, E.; van der Veer, E. P.; van Zonneveld, A. J.; Corresponding Author: Anton Jan van Zonneveld; Author Institution: Department of Internal Medicine (Nephrology), Leiden University Medical Center, Leiden, the Netherlands; Category: molecular biology; Abstract: Currently the world is dealing with the third outbreak of the human-infecting coronavirus with potential lethal outcome, cause by a member of the Nidovirus family, the SARS-CoV-2. The severe acute respiratory syndrome coronavirus (SARS-CoV-2) has caused the last worldwide pandemic. Successful development of vaccines highly contributed to reduce the severeness of the COVID-19 disease. To establish a control over the current and newly emerging coronaviruses of epidemic concern requires development of substances able to cure severely infected individuals and to prevent virus transmission. Here we present a therapeutic strategy targeting the SARS-CoV-2 RNA using antisense oligonucleotides (ASOs) and identify locked nucleic acid gapmers (LNA gapmers) potent to reduce by up to 96% the intracellular viral load in vitro. Our results strongly suggest promise of our preselected ASOs for further development as therapeutic or prophylactic anti-viral agents.

One sentence summaryASOs (LNA gapmers) targeting the SARS-CoV-2 RNA genome have been effective in viral RNA (load) reduction in vitro.",357
258,10.1101/2022.11.28.518163,PhosphoLingo: protein language models for phosphorylation site prediction,"Zuallaert, J.; Ramasamy, P.; Bouwmeester, R.; Callewaert, N.; Degroeve, S.",Jasper Zuallaert,VIB - Ghent University,4 Very Relevant,2022-11-28,bioinformatics,"MotivationWith a regulatory impact on numerous biological processes, protein phosphorylation is one of the most studied post-translational modifications. Effective computational methods that provide a sequence-based prediction of probable phosphorylation sites are desirable to guide functional experiments or constrain search spaces for proteomics-based experimental pipelines. Currently, the most successful methods train deep learning models on amino acid composition representations. However, recently proposed protein language models provide enriched sequence representations that may contain higher-level pattern information on which more performant phosphorylation site predictions may be based.

ResultsWe explored the applicability of protein language models to general phosphorylation site prediction. We found that training prediction models on top of protein language models yield a relative improvement of between 13.4% and 63.3% in terms of area under the precision-recall curve over the state-of-the-art predictors. Advanced model interpretation and model transferability experiments reveal that across models, protease-specific cleavage patterns give rise to a protease-specific training bias that results in an overly optimistic estimation of phosphorylation site prediction performance, an important caveat in the application of advanced machine learning approaches to protein modification prediction based on proteomics data.

Availability and implementationPhosphoLingo code, datasets, and predictions are available at https://github.com/jasperzuallaert/PhosphoLingo.

Contactjasper.zuallaert@vib-ugent.be, sven_degroeve@vib-ugent.be

Supplementary informationSupplementary materials are available at bioRxiv",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518163,"Title: PhosphoLingo: protein language models for phosphorylation site prediction; Authors: Zuallaert, J.; Ramasamy, P.; Bouwmeester, R.; Callewaert, N.; Degroeve, S.; Corresponding Author: Jasper Zuallaert; Author Institution: VIB - Ghent University; Category: bioinformatics; Abstract: MotivationWith a regulatory impact on numerous biological processes, protein phosphorylation is one of the most studied post-translational modifications. Effective computational methods that provide a sequence-based prediction of probable phosphorylation sites are desirable to guide functional experiments or constrain search spaces for proteomics-based experimental pipelines. Currently, the most successful methods train deep learning models on amino acid composition representations. However, recently proposed protein language models provide enriched sequence representations that may contain higher-level pattern information on which more performant phosphorylation site predictions may be based.

ResultsWe explored the applicability of protein language models to general phosphorylation site prediction. We found that training prediction models on top of protein language models yield a relative improvement of between 13.4% and 63.3% in terms of area under the precision-recall curve over the state-of-the-art predictors. Advanced model interpretation and model transferability experiments reveal that across models, protease-specific cleavage patterns give rise to a protease-specific training bias that results in an overly optimistic estimation of phosphorylation site prediction performance, an important caveat in the application of advanced machine learning approaches to protein modification prediction based on proteomics data.

Availability and implementationPhosphoLingo code, datasets, and predictions are available at https://github.com/jasperzuallaert/PhosphoLingo.

Contactjasper.zuallaert@vib-ugent.be, sven_degroeve@vib-ugent.be

Supplementary informationSupplementary materials are available at bioRxiv",381
259,10.1101/2022.11.28.518169,CommonNNClustering--A Python package for generic common-nearest-neighbour clustering,"Kapp-Joswig, J.-O.; Keller, B. G.",Bettina G. Keller,Freie Universitaet Berlin,2 Probably Irrelevant,2022-11-28,bioinformatics,"Density-based clustering procedures are widely used in a variety of data science applications. Their advantage lies in the capability to find arbitrarily shaped and sized clusters and robustness against outliers. In particular, they proved effective in the analysis of Molecular Dynamics simulations, where they serve to identify relevant, low energetic molecular conformations. As such, they can provide a convenient basis for the construction of kinetic (coreset) Markov-state models. Here we present the opensource Python project CommonNNClustering, which provides an easy-to-use and efficient re-implementation of the commonnearest-neighbour (CommonNN) method. The package provides functionalities for hierarchical clustering and an evaluation of the results. We put our emphasis on a generic API design to keep the implementation flexible and open for customisation.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.28.518169,"Title: CommonNNClustering--A Python package for generic common-nearest-neighbour clustering; Authors: Kapp-Joswig, J.-O.; Keller, B. G.; Corresponding Author: Bettina G. Keller; Author Institution: Freie Universitaet Berlin; Category: bioinformatics; Abstract: Density-based clustering procedures are widely used in a variety of data science applications. Their advantage lies in the capability to find arbitrarily shaped and sized clusters and robustness against outliers. In particular, they proved effective in the analysis of Molecular Dynamics simulations, where they serve to identify relevant, low energetic molecular conformations. As such, they can provide a convenient basis for the construction of kinetic (coreset) Markov-state models. Here we present the opensource Python project CommonNNClustering, which provides an easy-to-use and efficient re-implementation of the commonnearest-neighbour (CommonNN) method. The package provides functionalities for hierarchical clustering and an evaluation of the results. We put our emphasis on a generic API design to keep the implementation flexible and open for customisation.",218
260,10.1101/2022.11.27.518126,Evolutionary dynamics of transposable elements in Magnaporthe oryzae reveal evidence of genomic transfer and key differences between rice and wheat blast pathotypes,"Nakamoto, A. A.; Joubert, P. M.; Krasileva, K. V.",Ksenia V. Krasileva,"University of California, Berkeley",1 Certainly Irrelevant,2022-11-28,genomics,"Fungal plant pathogens pose a significant threat to biodiversity and food security worldwide. This threat is aggravated by their rapidly evolving genomes that adapt to evade host plant defenses, reducing the efficacy of deployed resistant crops. Magnaporthe oryzae infects rice, wheat, and many other grasses, resulting in significant crop losses each year. Transposable elements (TEs) are hypothesized to be involved in the evolution and rapid adaptation of M. oryzae. However, there is still much to understand about how these elements behave in different M. oryzae host-specific lineages. In this study, we completed the annotation and phylogenetic classification of TEs in five lineages of M. oryzae. We identified differences in TE content between these lineages, and showed that recent lineage-specific expansions of certain TEs have contributed to greater TE content in rice-infecting and Setaria-infecting lineages. We reconstructed the histories of LTR-retrotransposon expansions and found them to have experienced complex dynamics, where some were caused by the proliferation of one element, while others consisted of multiple elements from an older population of TEs that proliferated in parallel. Additionally, we found evidence suggesting the recent transfer of a DNA transposon between rice and wheat M. oryzae lineages, and a region showing evidence of recombination between those lineages, which could have facilitated such a transfer. These results point towards key differences in TE dynamics, evolutionary history, and adaptive potential between the rice-and-Setaria-infecting and the wheat-Lolium-and-Eleusine-infecting lineage groups.",https://www.biorxiv.org/content/early/2022/11/28/2022.11.27.518126,"Title: Evolutionary dynamics of transposable elements in Magnaporthe oryzae reveal evidence of genomic transfer and key differences between rice and wheat blast pathotypes; Authors: Nakamoto, A. A.; Joubert, P. M.; Krasileva, K. V.; Corresponding Author: Ksenia V. Krasileva; Author Institution: University of California, Berkeley; Category: genomics; Abstract: Fungal plant pathogens pose a significant threat to biodiversity and food security worldwide. This threat is aggravated by their rapidly evolving genomes that adapt to evade host plant defenses, reducing the efficacy of deployed resistant crops. Magnaporthe oryzae infects rice, wheat, and many other grasses, resulting in significant crop losses each year. Transposable elements (TEs) are hypothesized to be involved in the evolution and rapid adaptation of M. oryzae. However, there is still much to understand about how these elements behave in different M. oryzae host-specific lineages. In this study, we completed the annotation and phylogenetic classification of TEs in five lineages of M. oryzae. We identified differences in TE content between these lineages, and showed that recent lineage-specific expansions of certain TEs have contributed to greater TE content in rice-infecting and Setaria-infecting lineages. We reconstructed the histories of LTR-retrotransposon expansions and found them to have experienced complex dynamics, where some were caused by the proliferation of one element, while others consisted of multiple elements from an older population of TEs that proliferated in parallel. Additionally, we found evidence suggesting the recent transfer of a DNA transposon between rice and wheat M. oryzae lineages, and a region showing evidence of recombination between those lineages, which could have facilitated such a transfer. These results point towards key differences in TE dynamics, evolutionary history, and adaptive potential between the rice-and-Setaria-infecting and the wheat-Lolium-and-Eleusine-infecting lineage groups.",423
